conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1.7784E+18;Thu Apr 11 12:16:10 +0000 2024;0;review siksa kubur: fachri albar ;1.7784E+18;;;in;;0;0;0;https://twitter.com/KoryahGit/status/1778396621581250974;9.15697E+17;KoryahGit
1.77908E+18;Sat Apr 13 09:41:53 +0000 2024;1;Terima kasih teman-teman Tonton video review Siksa Kubur ini sampai selesai ya. #SiksaKubur https://t.co/tjnwCbzsSx;1.77908E+18;https://pbs.twimg.com/amplify_video_thumb/1779082490466242560/img/cSAVoT_oYL9Q4XxO.jpg;;in;Jakarta Capital Region;0;0;0;https://twitter.com/RapiFilm/status/1779082570032160895;284982564;RapiFilm
1.77941E+18;Sun Apr 14 07:40:35 +0000 2024;0;otw nonton siksa kubur di subay karena review mas nas;1.77941E+18;;;in;;0;0;0;https://twitter.com/labibubah/status/1779414431736492046;1.33879E+18;labibubah
1.77942E+18;Sun Apr 14 07:59:17 +0000 2024;0;Yg udah nonton siksa kubur review nya;1.77942E+18;;;in;;0;0;0;https://twitter.com/w_kurniawan_/status/1779419141210017828;458025787;w_kurniawan_
1.77874E+18;Sat Apr 13 06:03:13 +0000 2024;1;@shep_kazama @P1ckmewtoo @tanyakanrl Bang jhon review film siksa kubur dong.;1.77903E+18;;shep_kazama;in;Sukasari, Indonesia;0;1;0;https://twitter.com/pecanduUdud/status/1779027541577359711;1.60287E+18;pecanduUdud
1.77873E+18;Fri Apr 12 10:28:38 +0000 2024;0;@TarizSolis nunggu banget review dari si Mas satu ini . Apalagi Siksa KUBUR pasti Mas Tariz banget tuh https://t.co/grtxhoC091;1.77873E+18;https://pbs.twimg.com/media/GK9TRn3a0AAXFVi.jpg;TarizSolis;in;North Jakarta, DKI Jakarta;0;0;0;https://twitter.com/aby_surmadi/status/1778731949470937195;7.57801E+17;aby_surmadi
1.77932E+18;Sun Apr 14 01:15:22 +0000 2024;0;Review film siksa kubur dari rang orang bagus nih katanya tapi percayalah menjadi fans emyu lebih horor kek nya ;1.77932E+18;;;in;Indonesia;0;0;0;https://twitter.com/kokohtatan/status/1779317491992498675;1.17966E+18;kokohtatan
1.77909E+18;Sat Apr 13 10:21:13 +0000 2024;0;dari semua review siksa kubur yang muncul di tl gue simpulin mostly pada ga suka sama 3rd act nya yah ??? jadi penasaran ada apa disana;1.77909E+18;;;in;Lombardy, Italy;0;0;0;https://twitter.com/caramiioioioiii/status/1779092468384030868;1.30354E+18;caramiioioioiii
1.77918E+18;Sat Apr 13 16:00:00 +0000 2024;0;ADUH KETAWA NGAKAK SAMA PENDAPAT WARGA TIKTOK TENTANG KARAKTER ADIL DI SIKSA KUBUR;1.77918E+18;;;in;;0;2;0;https://twitter.com/madarkham/status/1779177727821828460;1.51109E+18;madarkham
1.7795E+18;Sun Apr 14 13:18:57 +0000 2024;0;Baru aja selesai nonton siksa kubur dan perasaannya sama dengan review berikut ini ;1.7795E+18;;;in;;0;0;0;https://twitter.com/akunspamdoang/status/1779499586840863010;1.33298E+18;akunspamdoang
1.77923E+18;Sat Apr 13 19:11:22 +0000 2024;1;Ngeri uy liat review siksa kubur orang-orang Twitter ;1.77923E+18;;;in;New South Wales, Australia;0;0;0;https://twitter.com/apol10s/status/1779225885666931036;1.63266E+18;apol10s
1.77876E+18;Fri Apr 12 12:23:56 +0000 2024;0;Gw nga pernah ntn karya Joko Anwar pengabdi setan aja nga ntn. Abs liat review siksa kubur hmmm ok ni coba ntn wkwkwk anjir tiap scene mual hoekhoek speechless merinding trs kepikiran solat tobat ya Allah ya Allah. The real spiritual journey nya sita;1.77876E+18;;yeorobunn;in;??;0;1;0;https://twitter.com/yeorobunn/status/1778760964621455563;377900878;yeorobunn
